ISO,COUNTRY,USG_DFSCORE,USG_PRESENCE,USG_PRESENCE_SOURCE,USG_TROOP_NUMBERS,USG_TROOP_NUMBERS_SOURCE,USG_COST,USG_COST_SOURCE,USG_TROOP_CASUALTIES,USG_TROOP_CASUALTIES_SOURCE,USG_ADVERSARY_CASUALTIES,USG_ADVERSARY_CASUALTIES_SOURCE,USG_CIVILIAN_CASUALTIES,USG_CIVILIAN_CASUALTIES_SOURCE,BIJ_DFSCORE,BIJ_PRESENCE,BIJ_PRESENCE_SOURCE,BIJ_TROOP_NUMBERS,BIJ_TROOP_NUMBERS_SOURCE,BIJ_COST,BIJ_COST_SOURCE,BIJ_TROOP_CASUALTIES,BIJ_TROOP_CASUALTIES_SOURCE,BIJ_ADVERSARY_CASUALTIES,BIJ_ADVERSARY_CASUALTIES_SOURCE,BIJ_CIVILIAN_CASUALTIES,BIJ_CIVILIAN_CASUALTIES_SOURCE,NEW_AMERICA_DFSCORE,NEW_AMERICA_PRESENCE,NEW_AMERICA_PRESENCE_SOURCE,NEW_AMERICA_TROOP_NUMBERS,NEW_AMERICA_TROOP_NUMBERS_SOURCE,NEW_AMERICA_COST,NEW_AMERICA_COST_SOURCE,NEW_AMERICA_TROOP_CASUALTIES,NEW_AMERICA_TROOP_CASUALTIES_SOURCE,NEW_AMERICA_ADVERSARY_CASUALTIES,NEW_AMERICA_ADVERSARY_CASUALTIES_SOURCE,NEW_AMERICA_CIVILIAN_CASUALTIES,NEW_AMERICA_CIVILIAN_CASUALTIES_SOURCE,GENEVA_DFSCORE,GENEVA_PRESENCE,GENEVA_PRESENCE_SOURCE,GENEVA_TROOP_NUMBERS,GENEVA_TROOP_NUMBERS_SOURCE,GENEVA_COST,GENEVA_COST_SOURCE,GENEVA_TROOP_CASUALTIES,GENEVA_TROOP_CASUALTIES_SOURCE,GENEVA_ADVERSARY_CASUALTIES,GENEVA_ADVERSARY_CASUALTIES_SOURCE,GENEVA_CIVILIAN_CASUALTIES,GENEVA_CIVILIAN_CASUALTIES_SOURCE
BOL,Bolivia,,1,,13,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
BRA,Brazil,,1,,56,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
BRB,Barbados,,1,,11,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
BRN,Brunei,,1,,2,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
BTN,Bhutan,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
BWA,Botswana,,1,,15,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CAF,Central African Republic,,1,,1,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CAN,Canada,,1,,138,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CHE,Switzerland,,1,,30,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CHL,Chile,,1,,35,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CHN,China,,1,,51,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CIV,Côte d'Ivoire,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CMR,Cameroon,,1,,16,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
COD,Democratic Republic of the Congo,,1,,16,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
COG,Congo,,1,,11,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
COL,Colombia,,1,,67,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
COM,Comoros,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CPV,Cabo Verde,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CRI,Costa Rica,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CUB,Cuba,,1,,994,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CYP,Cyprus,,1,,13,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
CZE,Czech Republic,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DEU,Germany,,1,,35890,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DJI,Djibouti,,1,,421,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DMA,Dominica,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DNK,Denmark,,1,,175,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DOM,Dominican Republic,,1,,25,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
DZA,Algeria,,1,,6,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ECU,Ecuador,,1,,28,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
EGY,Egypt,,1,,282,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ERI,Eritrea,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ESP,Spain,,1,,3619,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
EST,Estonia,,1,,4,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
ETH,Ethiopia,,1,,17,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
FIN,Finland,,1,,17,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
FJI,Fiji,,1,,3,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
FRA,France,,1,,55,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
FSM,Federated States of Micronesia,,0,,,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GAB,Gabon,,1,,10,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GBR,United Kingdom,,1,,9527,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
GEO,Georgia,,1,,5,DOD Defense Manpower Center,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
